"Source:","D:\Projects\raspynq\KiCAD\raspynq.kicad_sch"
"Date:","2022/02/13 15:36:56"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","93"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C2","100p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C3","100p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C4","100p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C5","100p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C6","100p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C7","100p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C8","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C9","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C12","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C13","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C14","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C15","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C16","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C17","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C18","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C19","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C21","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C22","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C23","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C24","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C25","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","D1","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"","","D2","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"","","D3","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"","","D4","1N5817","Diode:1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","",""
"","","D5","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"","","IC1","CAT24C32WI-GT3",":CAT24C32WI-GT3_1","LibraryLoader:SOIC127P600X175-8N","http://www.onsemi.com/pub/Collateral/CAT24C32-D.PDF","EEPROM Serial-I2C 32K 4Kx8 1.8V/5V SOIC8 CAT24C32WI-GT3, EEPROM Memory 32kbit,, 4096 x, 8bit, Serial-I2C 1.7  5.5 V, 8-Pin SOIC","1.75","ON Semiconductor","CAT24C32WI-GT3","698-CAT24C32WI-GT3","https://www.mouser.co.uk/ProductDetail/onsemi/CAT24C32WI-GT3?qs=rZgeL6XvLwaTa79VuYkKQA%3D%3D"
"","","IC2","SN74LVC1T45DBVRE4",":SN74LVC1T45DBVRE4_1","LibraryLoader:SOT95P280X145-6N","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf?ts=1588328238734","Translation - Voltage Levels SNGL Bit Dual Supply Bus Transceiver","1.45","Texas Instruments","SN74LVC1T45DBVRE4","595-74LVC1T45DBVRE4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1T45DBVRE4?qs=pajgIaoyDUghb8lQHGwgsA%3D%3D"
"","","IC3","SN74LVC1T45DBVRE4",":SN74LVC1T45DBVRE4_1","LibraryLoader:SOT95P280X145-6N","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf?ts=1588328238734","Translation - Voltage Levels SNGL Bit Dual Supply Bus Transceiver","1.45","Texas Instruments","SN74LVC1T45DBVRE4","595-74LVC1T45DBVRE4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1T45DBVRE4?qs=pajgIaoyDUghb8lQHGwgsA%3D%3D"
"","","IC4","SN74LVC1T45DBVRE4",":SN74LVC1T45DBVRE4_1","LibraryLoader:SOT95P280X145-6N","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf?ts=1588328238734","Translation - Voltage Levels SNGL Bit Dual Supply Bus Transceiver","1.45","Texas Instruments","SN74LVC1T45DBVRE4","595-74LVC1T45DBVRE4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1T45DBVRE4?qs=pajgIaoyDUghb8lQHGwgsA%3D%3D"
"","","IC5","SN74LVC1T45DBVRE4",":SN74LVC1T45DBVRE4_1","LibraryLoader:SOT95P280X145-6N","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf?ts=1588328238734","Translation - Voltage Levels SNGL Bit Dual Supply Bus Transceiver","1.45","Texas Instruments","SN74LVC1T45DBVRE4","595-74LVC1T45DBVRE4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1T45DBVRE4?qs=pajgIaoyDUghb8lQHGwgsA%3D%3D"
"","","IC6","SN74LVC1T45DBVRE4",":SN74LVC1T45DBVRE4_1","LibraryLoader:SOT95P280X145-6N","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf?ts=1588328238734","Translation - Voltage Levels SNGL Bit Dual Supply Bus Transceiver","1.45","Texas Instruments","SN74LVC1T45DBVRE4","595-74LVC1T45DBVRE4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1T45DBVRE4?qs=pajgIaoyDUghb8lQHGwgsA%3D%3D"
"","","IC7","SN74LV1T125DBVR",":SN74LV1T125DBVR_1","LibraryLoader:SOT95P280X145-5N","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LV1T125&&fileType=pdf","Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable)","1.45","Texas Instruments","SN74LV1T125DBVR","595-SN74LV1T125DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LV1T125DBVR?qs=8sOby8ZxZLHg5BJUGPaBYA%3D%3D"
"","","IC8","SN74LV1T125DBVR",":SN74LV1T125DBVR_1","LibraryLoader:SOT95P280X145-5N","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LV1T125&&fileType=pdf","Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable)","1.45","Texas Instruments","SN74LV1T125DBVR","595-SN74LV1T125DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LV1T125DBVR?qs=8sOby8ZxZLHg5BJUGPaBYA%3D%3D"
"","","IC9","SN74LV1T125DBVR",":SN74LV1T125DBVR_1","LibraryLoader:SOT95P280X145-5N","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LV1T125&&fileType=pdf","Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable)","1.45","Texas Instruments","SN74LV1T125DBVR","595-SN74LV1T125DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LV1T125DBVR?qs=8sOby8ZxZLHg5BJUGPaBYA%3D%3D"
"","","IC10","TXB0104PWRG4","LibraryLoader:TXB0104PWRG4","LibraryLoader:SOP65P640X120-14N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000131436.pdf","Texas Instruments TXB0104PWRG4, Voltage Level Translator, 3-State, 1.2  3.6 V, 1.65  5.5 V, 14-Pin TSSOP","1.2","Texas Instruments","TXB0104PWRG4","595-TXB0104PWRG4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TXB0104PWRG4?qs=oFXvjAmG9EjoQ0gyZ%252BZWbg%3D%3D"
"","","IC11","TXB0104PWRG4","LibraryLoader:TXB0104PWRG4","LibraryLoader:SOP65P640X120-14N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000131436.pdf","Texas Instruments TXB0104PWRG4, Voltage Level Translator, 3-State, 1.2  3.6 V, 1.65  5.5 V, 14-Pin TSSOP","1.2","Texas Instruments","TXB0104PWRG4","595-TXB0104PWRG4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TXB0104PWRG4?qs=oFXvjAmG9EjoQ0gyZ%252BZWbg%3D%3D"
"","","IC12","SN74LV1T125DBVR","LibraryLoader:SN74LV1T125DBVR","LibraryLoader:SOT95P280X145-5N","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LV1T125&&fileType=pdf","Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable)","1.45","Texas Instruments","SN74LV1T125DBVR","595-SN74LV1T125DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LV1T125DBVR?qs=8sOby8ZxZLHg5BJUGPaBYA%3D%3D"
"","","IC13","TXB0104PWRG4","LibraryLoader:TXB0104PWRG4","LibraryLoader:SOP65P640X120-14N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000131436.pdf","Texas Instruments TXB0104PWRG4, Voltage Level Translator, 3-State, 1.2  3.6 V, 1.65  5.5 V, 14-Pin TSSOP","1.2","Texas Instruments","TXB0104PWRG4","595-TXB0104PWRG4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TXB0104PWRG4?qs=oFXvjAmG9EjoQ0gyZ%252BZWbg%3D%3D"
"","","IC14","TXB0104PWRG4","LibraryLoader:TXB0104PWRG4","LibraryLoader:SOP65P640X120-14N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000131436.pdf","Texas Instruments TXB0104PWRG4, Voltage Level Translator, 3-State, 1.2  3.6 V, 1.65  5.5 V, 14-Pin TSSOP","1.2","Texas Instruments","TXB0104PWRG4","595-TXB0104PWRG4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TXB0104PWRG4?qs=oFXvjAmG9EjoQ0gyZ%252BZWbg%3D%3D"
"","","J1","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","",""
"","","J2","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J3","87832-1420",":87832-1420_1","LibraryLoader:87832-1420","http://www.molex.com/pdm_docs/sd/878321420_sd.pdf","Molex MILLI-GRID Series, Series Number 87832, 2mm Pitch 14 Way 2 Row Straight PCB Header, Solder Termination, 2A","","Molex","87832-1420","538-87832-1420","https://www.mouser.co.uk/ProductDetail/Molex/87832-1420?qs=9Wl4wMk6Njp2JciwISLQUQ%3D%3D"
"","","J4","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","",""
"","","J5","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","","","","","",""
"","","J6","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J7","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J8","Conn_01x01","Connector_Generic:Conn_01x01","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","",""
"","","J9","Conn_01x01","Connector_Generic:Conn_01x01","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","",""
"","","J10","Conn_01x01","Connector_Generic:Conn_01x01","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","",""
"","","J11","Conn_01x01","Connector_Generic:Conn_01x01","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","",""
"","","J12","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical","~","","","","","",""
"","","J13","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical","~","","","","","",""
"","","MK1","M2.5","raspynq-rescue:Mounting_Hole-Mechanical","MountingHole:MountingHole_2.7mm_M2.5","","","","","","",""
"","","MK2","M2.5","raspynq-rescue:Mounting_Hole-Mechanical","MountingHole:MountingHole_2.7mm_M2.5","","","","","","",""
"","","MK3","M2.5","raspynq-rescue:Mounting_Hole-Mechanical","MountingHole:MountingHole_2.7mm_M2.5","","","","","","",""
"","","MK4","M2.5","raspynq-rescue:Mounting_Hole-Mechanical","MountingHole:MountingHole_2.7mm_M2.5","","","","","","",""
"","","P1","Conn_02x20_Odd_Even","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","~","","","","","",""
"","","R1","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R2","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R3","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R4","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R5","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R6","0","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R7","0","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R8","0","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R9","0","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R10","0","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R11","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R12","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R13","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R14","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R15","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R16","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R17","5.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R18","5.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R19","5.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R20","5.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R21","5.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R22","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R23","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R24","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R25","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R26","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R27","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R28","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R29","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R30","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R31","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R32","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R33","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R34","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","16","C1, C8, C9, C12, C13, C14, C15, C16, C17, C18, C19, C21, C22, C23, C24, C25","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"2","6","C2, C3, C4, C5, C6, C7","100p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"3","4","D1, D2, D3, D5","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"4","1","D4","1N5817","Diode:1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","",""
"5","1","IC1","CAT24C32WI-GT3",":CAT24C32WI-GT3_1","LibraryLoader:SOIC127P600X175-8N","http://www.onsemi.com/pub/Collateral/CAT24C32-D.PDF","EEPROM Serial-I2C 32K 4Kx8 1.8V/5V SOIC8 CAT24C32WI-GT3, EEPROM Memory 32kbit,, 4096 x, 8bit, Serial-I2C 1.7  5.5 V, 8-Pin SOIC","1.75","ON Semiconductor","CAT24C32WI-GT3","698-CAT24C32WI-GT3","https://www.mouser.co.uk/ProductDetail/onsemi/CAT24C32WI-GT3?qs=rZgeL6XvLwaTa79VuYkKQA%3D%3D"
"6","5","IC2, IC3, IC4, IC5, IC6","SN74LVC1T45DBVRE4",":SN74LVC1T45DBVRE4_1","LibraryLoader:SOT95P280X145-6N","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf?ts=1588328238734","Translation - Voltage Levels SNGL Bit Dual Supply Bus Transceiver","1.45","Texas Instruments","SN74LVC1T45DBVRE4","595-74LVC1T45DBVRE4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1T45DBVRE4?qs=pajgIaoyDUghb8lQHGwgsA%3D%3D"
"7","3","IC7, IC8, IC9","SN74LV1T125DBVR",":SN74LV1T125DBVR_1","LibraryLoader:SOT95P280X145-5N","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LV1T125&&fileType=pdf","Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable)","1.45","Texas Instruments","SN74LV1T125DBVR","595-SN74LV1T125DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LV1T125DBVR?qs=8sOby8ZxZLHg5BJUGPaBYA%3D%3D"
"8","4","IC10, IC11, IC13, IC14","TXB0104PWRG4","LibraryLoader:TXB0104PWRG4","LibraryLoader:SOP65P640X120-14N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000131436.pdf","Texas Instruments TXB0104PWRG4, Voltage Level Translator, 3-State, 1.2  3.6 V, 1.65  5.5 V, 14-Pin TSSOP","1.2","Texas Instruments","TXB0104PWRG4","595-TXB0104PWRG4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TXB0104PWRG4?qs=oFXvjAmG9EjoQ0gyZ%252BZWbg%3D%3D"
"9","1","IC12","SN74LV1T125DBVR","LibraryLoader:SN74LV1T125DBVR","LibraryLoader:SOT95P280X145-5N","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LV1T125&&fileType=pdf","Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable)","1.45","Texas Instruments","SN74LV1T125DBVR","595-SN74LV1T125DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LV1T125DBVR?qs=8sOby8ZxZLHg5BJUGPaBYA%3D%3D"
"10","1","J1","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","",""
"11","3","J2, J6, J7","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"12","1","J3","87832-1420",":87832-1420_1","LibraryLoader:87832-1420","http://www.molex.com/pdm_docs/sd/878321420_sd.pdf","Molex MILLI-GRID Series, Series Number 87832, 2mm Pitch 14 Way 2 Row Straight PCB Header, Solder Termination, 2A","","Molex","87832-1420","538-87832-1420","https://www.mouser.co.uk/ProductDetail/Molex/87832-1420?qs=9Wl4wMk6Njp2JciwISLQUQ%3D%3D"
"13","1","J4","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","",""
"14","1","J5","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","","","","","",""
"15","4","J8, J9, J10, J11","Conn_01x01","Connector_Generic:Conn_01x01","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","",""
"16","2","J12, J13","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical","~","","","","","",""
"17","4","MK1, MK2, MK3, MK4","M2.5","raspynq-rescue:Mounting_Hole-Mechanical","MountingHole:MountingHole_2.7mm_M2.5","","","","","","",""
"18","1","P1","Conn_02x20_Odd_Even","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","~","","","","","",""
"19","7","R1, R2, R12, R13, R14, R15, R16","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"20","2","R3, R27","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"21","4","R4, R5, R11, R28","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"22","5","R6, R7, R8, R9, R10","0","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"23","5","R17, R18, R19, R20, R21","5.9k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"24","5","R22, R23, R24, R25, R26","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"25","6","R29, R30, R31, R32, R33, R34","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
